Overhead 10:
          webob: | 795.334s overall | score:   1.012 |
         wep.py: | 811.248s overall | score:   1.033 |
          Flask: | 854.812s overall | score:   1.088 |
           WSGI: | 1214.291s overall | score:   1.546 |

Default Configurations:
            tipfy w/Jinja: |  46.037s overall | score:   1.000 |
       web.py w/Templator: |  58.095s overall | score:   1.262 |
            flask w/Jinja: |  94.094s overall | score:   2.044 |
  bottle w/SimpleTemplate: | 100.383s overall | score:   2.181 |
          webapp w/Django: | 139.362s overall | score:   3.027 |

